fl	sample	correlation
1	AR_Veh_1	0
1	AR_Veh_2	0
1	AR_Veh_3	0
1	AR_DHT_1	0
1	AR_DHT_2	0
1	AR_DHT_3	0
2	AR_Veh_1	0
2	AR_Veh_2	0
2	AR_Veh_3	0
2	AR_DHT_1	0
2	AR_DHT_2	0
2	AR_DHT_3	0
3	AR_Veh_1	0
3	AR_Veh_2	0
3	AR_Veh_3	0
3	AR_DHT_1	0
3	AR_DHT_2	0
3	AR_DHT_3	0
4	AR_Veh_1	0
4	AR_Veh_2	0
4	AR_Veh_3	0
4	AR_DHT_1	0
4	AR_DHT_2	0
4	AR_DHT_3	0
5	AR_Veh_1	0
5	AR_Veh_2	0
5	AR_Veh_3	0
5	AR_DHT_1	0
5	AR_DHT_2	0
5	AR_DHT_3	0
6	AR_Veh_1	0
6	AR_Veh_2	0
6	AR_Veh_3	0
6	AR_DHT_1	0
6	AR_DHT_2	0
6	AR_DHT_3	0
7	AR_Veh_1	0
7	AR_Veh_2	0
7	AR_Veh_3	0
7	AR_DHT_1	0
7	AR_DHT_2	0
7	AR_DHT_3	0
8	AR_Veh_1	0
8	AR_Veh_2	0
8	AR_Veh_3	0
8	AR_DHT_1	0
8	AR_DHT_2	0
8	AR_DHT_3	0
9	AR_Veh_1	0
9	AR_Veh_2	0
9	AR_Veh_3	0
9	AR_DHT_1	0
9	AR_DHT_2	0
9	AR_DHT_3	0
10	AR_Veh_1	0
10	AR_Veh_2	0
10	AR_Veh_3	0
10	AR_DHT_1	0
10	AR_DHT_2	0
10	AR_DHT_3	0
11	AR_Veh_1	0
11	AR_Veh_2	0
11	AR_Veh_3	0
11	AR_DHT_1	0
11	AR_DHT_2	0
11	AR_DHT_3	0
12	AR_Veh_1	0
12	AR_Veh_2	0
12	AR_Veh_3	0
12	AR_DHT_1	0
12	AR_DHT_2	0
12	AR_DHT_3	0
13	AR_Veh_1	0
13	AR_Veh_2	0
13	AR_Veh_3	0
13	AR_DHT_1	0
13	AR_DHT_2	0
13	AR_DHT_3	0
14	AR_Veh_1	0
14	AR_Veh_2	0
14	AR_Veh_3	0
14	AR_DHT_1	0
14	AR_DHT_2	0
14	AR_DHT_3	0
15	AR_Veh_1	0
15	AR_Veh_2	0
15	AR_Veh_3	0
15	AR_DHT_1	0
15	AR_DHT_2	0
15	AR_DHT_3	0
16	AR_Veh_1	0
16	AR_Veh_2	0
16	AR_Veh_3	0
16	AR_DHT_1	0
16	AR_DHT_2	0
16	AR_DHT_3	0
17	AR_Veh_1	0
17	AR_Veh_2	0
17	AR_Veh_3	0
17	AR_DHT_1	0
17	AR_DHT_2	0
17	AR_DHT_3	0
18	AR_Veh_1	0
18	AR_Veh_2	0
18	AR_Veh_3	0
18	AR_DHT_1	0
18	AR_DHT_2	0
18	AR_DHT_3	0
19	AR_Veh_1	0
19	AR_Veh_2	0
19	AR_Veh_3	0
19	AR_DHT_1	0
19	AR_DHT_2	0
19	AR_DHT_3	0
20	AR_Veh_1	0
20	AR_Veh_2	0
20	AR_Veh_3	0
20	AR_DHT_1	0
20	AR_DHT_2	0
20	AR_DHT_3	0
21	AR_Veh_1	0
21	AR_Veh_2	0
21	AR_Veh_3	0
21	AR_DHT_1	0
21	AR_DHT_2	0
21	AR_DHT_3	0
22	AR_Veh_1	0
22	AR_Veh_2	0
22	AR_Veh_3	0
22	AR_DHT_1	0
22	AR_DHT_2	0
22	AR_DHT_3	0
