fl	sample	correlation
1	ER_DHT_1	0
1	ER_DHT_2	0
1	ER_DHT_3	0
1	ER_Veh_1	0
1	ER_Veh_2	0
1	ER_Veh_3	0
2	ER_DHT_1	0
2	ER_DHT_2	0
2	ER_DHT_3	0
2	ER_Veh_1	0
2	ER_Veh_2	0
2	ER_Veh_3	0
3	ER_DHT_1	0
3	ER_DHT_2	0
3	ER_DHT_3	0
3	ER_Veh_1	0
3	ER_Veh_2	0
3	ER_Veh_3	0
4	ER_DHT_1	0
4	ER_DHT_2	0
4	ER_DHT_3	0
4	ER_Veh_1	0
4	ER_Veh_2	0
4	ER_Veh_3	0
5	ER_DHT_1	0
5	ER_DHT_2	0
5	ER_DHT_3	0
5	ER_Veh_1	0
5	ER_Veh_2	0
5	ER_Veh_3	0
6	ER_DHT_1	0
6	ER_DHT_2	0
6	ER_DHT_3	0
6	ER_Veh_1	0
6	ER_Veh_2	0
6	ER_Veh_3	0
7	ER_DHT_1	0
7	ER_DHT_2	0
7	ER_DHT_3	0
7	ER_Veh_1	0
7	ER_Veh_2	0
7	ER_Veh_3	0
8	ER_DHT_1	0
8	ER_DHT_2	0
8	ER_DHT_3	0
8	ER_Veh_1	0
8	ER_Veh_2	0
8	ER_Veh_3	0
9	ER_DHT_1	0
9	ER_DHT_2	0
9	ER_DHT_3	0
9	ER_Veh_1	0
9	ER_Veh_2	0
9	ER_Veh_3	0
10	ER_DHT_1	0
10	ER_DHT_2	0
10	ER_DHT_3	0
10	ER_Veh_1	0
10	ER_Veh_2	0
10	ER_Veh_3	0
11	ER_DHT_1	0
11	ER_DHT_2	0
11	ER_DHT_3	0
11	ER_Veh_1	0
11	ER_Veh_2	0
11	ER_Veh_3	0
12	ER_DHT_1	0
12	ER_DHT_2	0
12	ER_DHT_3	0
12	ER_Veh_1	0
12	ER_Veh_2	0
12	ER_Veh_3	0
13	ER_DHT_1	0
13	ER_DHT_2	0
13	ER_DHT_3	0
13	ER_Veh_1	0
13	ER_Veh_2	0
13	ER_Veh_3	0
14	ER_DHT_1	0
14	ER_DHT_2	0
14	ER_DHT_3	0
14	ER_Veh_1	0
14	ER_Veh_2	0
14	ER_Veh_3	0
15	ER_DHT_1	0
15	ER_DHT_2	0
15	ER_DHT_3	0
15	ER_Veh_1	0
15	ER_Veh_2	0
15	ER_Veh_3	0
16	ER_DHT_1	0
16	ER_DHT_2	0
16	ER_DHT_3	0
16	ER_Veh_1	0
16	ER_Veh_2	0
16	ER_Veh_3	0
17	ER_DHT_1	0
17	ER_DHT_2	0
17	ER_DHT_3	0
17	ER_Veh_1	0
17	ER_Veh_2	0
17	ER_Veh_3	0
18	ER_DHT_1	0
18	ER_DHT_2	0
18	ER_DHT_3	0
18	ER_Veh_1	0
18	ER_Veh_2	0
18	ER_Veh_3	0
19	ER_DHT_1	0
19	ER_DHT_2	0
19	ER_DHT_3	0
19	ER_Veh_1	0
19	ER_Veh_2	0
19	ER_Veh_3	0
20	ER_DHT_1	0
20	ER_DHT_2	0
20	ER_DHT_3	0
20	ER_Veh_1	0
20	ER_Veh_2	0
20	ER_Veh_3	0
21	ER_DHT_1	0
21	ER_DHT_2	0
21	ER_DHT_3	0
21	ER_Veh_1	0
21	ER_Veh_2	0
21	ER_Veh_3	0
22	ER_DHT_1	0
22	ER_DHT_2	0
22	ER_DHT_3	0
22	ER_Veh_1	0
22	ER_Veh_2	0
22	ER_Veh_3	0
23	ER_DHT_1	0
23	ER_DHT_2	0
23	ER_DHT_3	0
23	ER_Veh_1	0
23	ER_Veh_2	0
23	ER_Veh_3	0
24	ER_DHT_1	0
24	ER_DHT_2	0
24	ER_DHT_3	0
24	ER_Veh_1	0
24	ER_Veh_2	0
24	ER_Veh_3	0
25	ER_DHT_1	0
25	ER_DHT_2	0
25	ER_DHT_3	0
25	ER_Veh_1	0
25	ER_Veh_2	0
25	ER_Veh_3	0
26	ER_DHT_1	0
26	ER_DHT_2	0
26	ER_DHT_3	0
26	ER_Veh_1	0
26	ER_Veh_2	0
26	ER_Veh_3	0
27	ER_DHT_1	0
27	ER_DHT_2	0
27	ER_DHT_3	0
27	ER_Veh_1	0
27	ER_Veh_2	0
27	ER_Veh_3	0
28	ER_DHT_1	0
28	ER_DHT_2	0
28	ER_DHT_3	0
28	ER_Veh_1	0
28	ER_Veh_2	0
28	ER_Veh_3	0
29	ER_DHT_1	0
29	ER_DHT_2	0
29	ER_DHT_3	0
29	ER_Veh_1	0
29	ER_Veh_2	0
29	ER_Veh_3	0
30	ER_DHT_1	0
30	ER_DHT_2	0
30	ER_DHT_3	0
30	ER_Veh_1	0
30	ER_Veh_2	0
30	ER_Veh_3	0
31	ER_DHT_1	0
31	ER_DHT_2	0
31	ER_DHT_3	0
31	ER_Veh_1	0
31	ER_Veh_2	0
31	ER_Veh_3	0
32	ER_DHT_1	0
32	ER_DHT_2	0
32	ER_DHT_3	0
32	ER_Veh_1	0
32	ER_Veh_2	0
32	ER_Veh_3	0
33	ER_DHT_1	0
33	ER_DHT_2	0
33	ER_DHT_3	0
33	ER_Veh_1	0
33	ER_Veh_2	0
33	ER_Veh_3	0
34	ER_DHT_1	0
34	ER_DHT_2	0
34	ER_DHT_3	0
34	ER_Veh_1	0
34	ER_Veh_2	0
34	ER_Veh_3	0
35	ER_DHT_1	0
35	ER_DHT_2	0
35	ER_DHT_3	0
35	ER_Veh_1	0
35	ER_Veh_2	0
35	ER_Veh_3	0
36	ER_DHT_1	0
36	ER_DHT_2	0
36	ER_DHT_3	0
36	ER_Veh_1	0
36	ER_Veh_2	0
36	ER_Veh_3	0
37	ER_DHT_1	0
37	ER_DHT_2	0
37	ER_DHT_3	0
37	ER_Veh_1	0
37	ER_Veh_2	0
37	ER_Veh_3	0
38	ER_DHT_1	0
38	ER_DHT_2	0
38	ER_DHT_3	0
38	ER_Veh_1	0
38	ER_Veh_2	0
38	ER_Veh_3	0
39	ER_DHT_1	0
39	ER_DHT_2	0
39	ER_DHT_3	0
39	ER_Veh_1	0
39	ER_Veh_2	0
39	ER_Veh_3	0
40	ER_DHT_1	0
40	ER_DHT_2	0
40	ER_DHT_3	0
40	ER_Veh_1	0
40	ER_Veh_2	0
40	ER_Veh_3	0
41	ER_DHT_1	0
41	ER_DHT_2	0
41	ER_DHT_3	0
41	ER_Veh_1	0
41	ER_Veh_2	0
41	ER_Veh_3	0
42	ER_DHT_1	0
42	ER_DHT_2	0
42	ER_DHT_3	0
42	ER_Veh_1	0
42	ER_Veh_2	0
42	ER_Veh_3	0
43	ER_DHT_1	0
43	ER_DHT_2	0
43	ER_DHT_3	0
43	ER_Veh_1	0
43	ER_Veh_2	0
43	ER_Veh_3	0
44	ER_DHT_1	0
44	ER_DHT_2	0
44	ER_DHT_3	0
44	ER_Veh_1	0
44	ER_Veh_2	0
44	ER_Veh_3	0
45	ER_DHT_1	0
45	ER_DHT_2	0
45	ER_DHT_3	0
45	ER_Veh_1	0
45	ER_Veh_2	0
45	ER_Veh_3	0
46	ER_DHT_1	0
46	ER_DHT_2	0
46	ER_DHT_3	0
46	ER_Veh_1	0
46	ER_Veh_2	0
46	ER_Veh_3	0
47	ER_DHT_1	0
47	ER_DHT_2	0
47	ER_DHT_3	0
47	ER_Veh_1	0
47	ER_Veh_2	0
47	ER_Veh_3	0
48	ER_DHT_1	0
48	ER_DHT_2	0
48	ER_DHT_3	0
48	ER_Veh_1	0
48	ER_Veh_2	0
48	ER_Veh_3	0
49	ER_DHT_1	0
49	ER_DHT_2	0
49	ER_DHT_3	0
49	ER_Veh_1	0
49	ER_Veh_2	0
49	ER_Veh_3	0
50	ER_DHT_1	0
50	ER_DHT_2	0
50	ER_DHT_3	0
50	ER_Veh_1	0
50	ER_Veh_2	0
50	ER_Veh_3	0
51	ER_DHT_1	0
51	ER_DHT_2	0
51	ER_DHT_3	0
51	ER_Veh_1	0
51	ER_Veh_2	0
51	ER_Veh_3	0
52	ER_DHT_1	0
52	ER_DHT_2	0
52	ER_DHT_3	0
52	ER_Veh_1	0
52	ER_Veh_2	0
52	ER_Veh_3	0
53	ER_DHT_1	0
53	ER_DHT_2	0
53	ER_DHT_3	0
53	ER_Veh_1	0
53	ER_Veh_2	0
53	ER_Veh_3	0
54	ER_DHT_1	0
54	ER_DHT_2	0
54	ER_DHT_3	0
54	ER_Veh_1	0
54	ER_Veh_2	0
54	ER_Veh_3	0
55	ER_DHT_1	0
55	ER_DHT_2	0
55	ER_DHT_3	0
55	ER_Veh_1	0
55	ER_Veh_2	0
55	ER_Veh_3	0
56	ER_DHT_1	0
56	ER_DHT_2	0
56	ER_DHT_3	0
56	ER_Veh_1	0
56	ER_Veh_2	0
56	ER_Veh_3	0
57	ER_DHT_1	0
57	ER_DHT_2	0
57	ER_DHT_3	0
57	ER_Veh_1	0
57	ER_Veh_2	0
57	ER_Veh_3	0
58	ER_DHT_1	0
58	ER_DHT_2	0
58	ER_DHT_3	0
58	ER_Veh_1	0
58	ER_Veh_2	0
58	ER_Veh_3	0
59	ER_DHT_1	0
59	ER_DHT_2	0
59	ER_DHT_3	0
59	ER_Veh_1	0
59	ER_Veh_2	0
59	ER_Veh_3	0
60	ER_DHT_1	0
60	ER_DHT_2	0
60	ER_DHT_3	0
60	ER_Veh_1	0
60	ER_Veh_2	0
60	ER_Veh_3	0
61	ER_DHT_1	0
61	ER_DHT_2	0
61	ER_DHT_3	0
61	ER_Veh_1	0
61	ER_Veh_2	0
61	ER_Veh_3	0
62	ER_DHT_1	0
62	ER_DHT_2	0
62	ER_DHT_3	0
62	ER_Veh_1	0
62	ER_Veh_2	0
62	ER_Veh_3	0
63	ER_DHT_1	0
63	ER_DHT_2	0
63	ER_DHT_3	0
63	ER_Veh_1	0
63	ER_Veh_2	0
63	ER_Veh_3	0
64	ER_DHT_1	0
64	ER_DHT_2	0
64	ER_DHT_3	0
64	ER_Veh_1	0
64	ER_Veh_2	0
64	ER_Veh_3	0
65	ER_DHT_1	0
65	ER_DHT_2	0
65	ER_DHT_3	0
65	ER_Veh_1	0
65	ER_Veh_2	0
65	ER_Veh_3	0
66	ER_DHT_1	0
66	ER_DHT_2	0
66	ER_DHT_3	0
66	ER_Veh_1	0
66	ER_Veh_2	0
66	ER_Veh_3	0
67	ER_DHT_1	0
67	ER_DHT_2	0
67	ER_DHT_3	0
67	ER_Veh_1	0
67	ER_Veh_2	0
67	ER_Veh_3	0
68	ER_DHT_1	0
68	ER_DHT_2	0
68	ER_DHT_3	0
68	ER_Veh_1	0
68	ER_Veh_2	0
68	ER_Veh_3	0
69	ER_DHT_1	0
69	ER_DHT_2	0
69	ER_DHT_3	0
69	ER_Veh_1	0
69	ER_Veh_2	0
69	ER_Veh_3	0
70	ER_DHT_1	0
70	ER_DHT_2	0
70	ER_DHT_3	0
70	ER_Veh_1	0
70	ER_Veh_2	0
70	ER_Veh_3	0
71	ER_DHT_1	0
71	ER_DHT_2	0
71	ER_DHT_3	0
71	ER_Veh_1	0
71	ER_Veh_2	0
71	ER_Veh_3	0
72	ER_DHT_1	0
72	ER_DHT_2	0
72	ER_DHT_3	0
72	ER_Veh_1	0
72	ER_Veh_2	0
72	ER_Veh_3	0
73	ER_DHT_1	0
73	ER_DHT_2	0
73	ER_DHT_3	0
73	ER_Veh_1	0
73	ER_Veh_2	0
73	ER_Veh_3	0
74	ER_DHT_1	0
74	ER_DHT_2	0
74	ER_DHT_3	0
74	ER_Veh_1	0
74	ER_Veh_2	0
74	ER_Veh_3	0
75	ER_DHT_1	0
75	ER_DHT_2	0
75	ER_DHT_3	0
75	ER_Veh_1	0
75	ER_Veh_2	0
75	ER_Veh_3	0
76	ER_DHT_1	0
76	ER_DHT_2	0
76	ER_DHT_3	0
76	ER_Veh_1	0
76	ER_Veh_2	0
76	ER_Veh_3	0
77	ER_DHT_1	0
77	ER_DHT_2	0
77	ER_DHT_3	0
77	ER_Veh_1	0
77	ER_Veh_2	0
77	ER_Veh_3	0
78	ER_DHT_1	0
78	ER_DHT_2	0
78	ER_DHT_3	0
78	ER_Veh_1	0
78	ER_Veh_2	0
78	ER_Veh_3	0
79	ER_DHT_1	0
79	ER_DHT_2	0
79	ER_DHT_3	0
79	ER_Veh_1	0
79	ER_Veh_2	0
79	ER_Veh_3	0
80	ER_DHT_1	0
80	ER_DHT_2	0
80	ER_DHT_3	0
80	ER_Veh_1	0
80	ER_Veh_2	0
80	ER_Veh_3	0
81	ER_DHT_1	0
81	ER_DHT_2	0
81	ER_DHT_3	0
81	ER_Veh_1	0
81	ER_Veh_2	0
81	ER_Veh_3	0
82	ER_DHT_1	0
82	ER_DHT_2	0
82	ER_DHT_3	0
82	ER_Veh_1	0
82	ER_Veh_2	0
