gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000186526	CYP4F8	8.759474176377914	7.8728423895966175	3.9432468948348035e-10	3.7751320627461e-6	protein_coding	11283	1478.1666666666667	54.278949148720265	9.404146030000705	15388	TRUE
ENSG00000096060	FKBP5	8.626305264300193	3.843877061474368	4.906592231279049e-10	3.7751320627461e-6	protein_coding	2289	4725.25	42.75964234696578	9.309220033126465	15387	TRUE
ENSG00000116741	RGS2	5.4461833042408605	4.0389353732754385	1.3745110131976635e-9	7.050325157028548e-6	protein_coding	5997	805.75	42.786224014892966	8.86185177604473	15386	TRUE
ENSG00000155368	DBI	7.573636027347865	2.6408996278330115	2.2626732273367006e-9	8.604062839800066e-6	protein_coding	1622	687.5833333333334	50.805962913586235	8.645378161825942	15385	TRUE
ENSG00000110080	ST3GAL4	6.46366098302979	1.8709349807380533	2.9779750891490813e-9	8.604062839800066e-6	protein_coding	6484	1290.55	57.86292665917631	8.526078939455012	15384	TRUE
ENSG00000172243	CLEC7A	2.243732342651495	3.0560852172464106	3.3548464413049387e-9	8.604062839800066e-6	protein_coding	64581	1326.076923076923	39.793491501827255	8.47432735365301	15383	TRUE
ENSG00000150594	ADRA2A	4.51489981801529	3.079843014534114	5.657977146907951e-9	9.60113024489026e-6	protein_coding	150	3879	59.7061098221191	8.247338811030993	15382	TRUE
ENSG00000259479	SORD2P	7.856817113161678	3.6523795444250684	5.815051831916863e-9	9.60113024489026e-6	transcribed_unprocessed_pseudogene	653381	1323.5	49.074423876086144	8.235446409875317	15381	TRUE
ENSG00000198721	ECI2	7.207387531163975	2.4836443382116413	6.098888087836841e-9	9.60113024489026e-6	protein_coding	10455	1559.7272727272727	45.31095179809991	8.21474933569966	15380	TRUE
ENSG00000156113	KCNMA1	4.734775885420167	2.540360382842889	6.239361999538771e-9	9.60113024489026e-6	protein_coding	3778	3863.31914893617	47.41513195576507	8.204859816446675	15379	TRUE
ENSG00000140263	SORD	9.030902268916005	3.588747816259991	7.491377664753384e-9	1.0479756318656826e-5	protein_coding	6652	3076.3333333333335	48.526384223642864	8.12543830817742	15378	TRUE
ENSG00000109762	SNX25	5.095750140525327	2.442259886785197	9.63719128252142e-9	1.2358091621286632e-5	protein_coding	83891	2314.125	42.43504564360178	8.01604952089376	15377	TRUE
ENSG00000108179	PPIF	9.050769245468983	2.5213832335167443	1.06300691846449e-8	1.2582731124101208e-5	protein_coding	10105	988.4	58.39740995548363	7.973463908909277	15376	TRUE
ENSG00000283342	AC241584.2	2.717237028660128	5.024208341634001	1.9628452168901133e-8	2.15744729982179e-5	unprocessed_pseudogene	NA	2090	48.2775119617225	7.707113945993917	15375	TRUE
ENSG00000152661	GJA1	7.648278159489338	3.70708279410743	4.8550770378892404e-8	4.9516043460679376e-5	protein_coding	2697	2787.25	41.66292941070946	7.313803874537696	15374	TRUE
ENSG00000172250	SERHL	5.006816101815204	5.971868512254449	5.1485358420254096e-8	4.9516043460679376e-5	transcribed_unitary_pseudogene	94009	1385.4	56.113757759491826	7.2883162595290365	15373	TRUE
ENSG00000138347	MYPN	4.86211089731191	4.08513447575879	6.35253772733683e-8	5.750167679309361e-5	protein_coding	84665	4861.4	47.764018595466325	7.197052747021308	15372	TRUE
ENSG00000183569	SERHL2	6.489401968147747	6.288817619936183	7.413022871409597e-8	6.11680868778747e-5	protein_coding	253190	1194.1	56.26831923624487	7.130004659946833	15371	TRUE
