gene_name,gene_id,RNA_logFC,RNA_FDR,range,dist2Gene,ChIP_logCPM,ChIP_logFC,ChIP_FDR,overlaps_ref,status,region,feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:78629601-78630400,0,4.302002666332584,-1.4937323602964117,0.0026218963791018487,TRUE,Down,Exon,No Feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:78733401-78734300,0,4.826832010278779,-1.9511876188006243,3.009959252498069e-5,TRUE,Down,Promoter (-1500/+500bp),No Feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79011101-79011500,0,4.052068303978212,-1.118484581920161,0.01659637359048432,TRUE,Down,Intron,No Feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79047301-79048200,0,4.787636633548833,-1.7173524522324668,3.47724160166534e-5,TRUE,Down,Intron,Enhancer
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79130301-79131100,0,4.42574018997089,-1.2517394867459584,0.0020316668417444794,TRUE,Down,Intron,Super Enhancer
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79169501-79170600,0,5.357407721567172,-1.6201390840317382,8.482317021835396e-5,TRUE,Down,Intron,Enhancer
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79239401-79240600,0,5.434998049532698,-1.391012397983211,2.9258560300782617e-4,TRUE,Down,Intron,No Feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79340001-79340700,0,4.0817862457737695,-1.6187875035233377,7.862839700838167e-4,TRUE,Down,Intron,No Feature
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79342001-79343000,0,5.175466800924915,-2.191923236549936,1.147667409456317e-6,TRUE,Down,Intron,Enhancer
KCNMA1,ENSG00000156113,2.540360382842889,9.60113024489026e-6,chr10:79366301-79367300,0,5.36457346504537,-1.2843761594666896,4.232566398438388e-4,TRUE,Down,Intron,Enhancer
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:80015801-80016600,1090624,4.492175894215135,-1.0161804718496403,0.04228237291850218,TRUE,Down,Intron (Other Gene),Super Enhancer
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:80027101-80027400,1079824,4.4912784365836185,-1.0368554076810608,0.017819759545536645,TRUE,Down,Promoter (Other Gene),Promoter
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:81020501-81021200,86024,4.524640874012367,-1.465462574301931,2.8504320570452114e-4,TRUE,Down,Intron (Other Gene),Enhancer
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:81023501-81025500,81724,5.3322981492408825,-1.5986317745813687,2.178095425479788e-4,TRUE,Down,Intron (Other Gene),Enhancer
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:81042101-81042700,64524,4.273968586705056,-1.6406561893276854,5.415931318066279e-4,TRUE,Down,Upstream Promoter (Other Gene),Enhancer
PPIF,ENSG00000108179,2.5213832335167443,1.2582731124101208e-5,chr10:81105601-81106100,1124,4.089683540990932,-1.2583525264644362,0.0050926521476790335,TRUE,Down,Promoter (-1500/+500bp),Promoter
